email,firstName,lastName,company,keywordCount,trialEndDate,segment
helen.moore@performancemarketing.com,Helen,Moore,Performance Marketing,519,2025-05-06T23:01:19.311+00:00,enterpriseContacts
andrew.nguyen@yahoo.com,Andrew,Nguyen,Marketing Intelligence,565,2025-06-03T23:01:19.311+00:00,enterpriseContacts
barbara.scott@growthenginemedia.com,Barbara,Scott,Growth Engine Media,48,2025-04-27T23:01:19.311+00:00,enterpriseContacts
jessica.thomas@growthmarketingagency.com,Jessica,Thomas,Growth Marketing Agency,873,2025-05-04T23:01:19.311+00:00,enterpriseContacts
elizabeth.mitchell@trafficgenerationco.com,Elizabeth,Mitchell,Traffic Generation Co,1214,2025-03-03T22:01:19.311+00:00,enterpriseContacts
deborah.baker@agency.com,Deborah,Baker,Digital Performance,648,2025-03-29T22:01:19.311+00:00,enterpriseContacts
anna.rodriguez74@hotmail.com,Anna,Rodriguez,Revenue Growth Lab,25254,2025-02-14T22:01:19.311+00:00,enterpriseContacts
anthony.king@hotmail.com,Anthony,King,Marketing Tech,2443,2025-04-19T23:01:19.311+00:00,enterpriseContacts
tom.anderson@trafficlabs.com,Tom,Anderson,Traffic Labs,600,2025-07-03T22:40:11.743+00:00,enterpriseContacts
matthew.gonzalez53@agency.com,Matthew,Gonzalez,SEO Boost Labs,27,2025-03-02T22:01:19.311+00:00,enterpriseContacts
mark.hernandez@gmail.com,Mark,Hernandez,Growth Catalyst,58,2025-03-14T22:01:19.311+00:00,enterpriseContacts
andrew.taylor@business.com,Andrew,Taylor,Content Masters,184,2025-02-27T22:01:19.311+00:00,enterpriseContacts
anthony.jackson58@marketing.com,Anthony,Jackson,Growth Hackers Inc,1136,2025-04-26T23:01:19.311+00:00,enterpriseContacts
jennifer.campbell@business.com,Jennifer,Campbell,Revenue Growth Partners,773,2025-03-14T22:01:19.311+00:00,enterpriseContacts
john.nguyen@marketing.com,John,Nguyen,TechFlow Solutions,3073,2025-03-15T22:01:19.311+00:00,enterpriseContacts
christopher.torres@marketing.com,Christopher,Torres,Traffic Optimization,855,2025-03-23T22:01:19.311+00:00,enterpriseContacts
paul.wright52@gmail.com,Paul,Wright,Content Strategy Co,288,2025-01-20T22:01:19.311+00:00,enterpriseContacts
melissa.lewis@agency.com,Melissa,Lewis,Conversion Optimization,324,2025-01-21T22:01:19.311+00:00,enterpriseContacts
susan.scott@gmail.com,Susan,Scott,Keyword Research Pro,551,2025-02-25T22:01:19.297+00:00,enterpriseContacts
jessica.scott@outlook.com,Jessica,Scott,Growth Intelligence,2354,2025-01-23T22:01:19.311+00:00,enterpriseContacts
melissa.garcia@growth.com,Melissa,Garcia,Lead Generation Pro,2021,2025-06-19T23:01:19.311+00:00,enterpriseContacts
christopher.ramirez90@outlook.com,Christopher,Ramirez,Marketing Science,673,2025-03-31T22:01:19.312+00:00,enterpriseContacts
laura.lee@outlook.com,Laura,Lee,Conversion Analytics,457,2025-05-29T23:01:19.311+00:00,enterpriseContacts
jessica.martinez131@agency.com,Jessica,Martinez,Marketing Insights,27,2025-03-20T22:01:19.312+00:00,enterpriseContacts
brian.mitchell@business.com,Brian,Mitchell,Performance Intelligence,1379,2025-06-13T23:01:19.311+00:00,enterpriseContacts
susan.walker@business.com,Susan,Walker,Performance Analytics,633,2025-03-11T22:01:19.311+00:00,enterpriseContacts
jessica.scott@yahoo.com,Jessica,Scott,MarketPro Analytics,365,2025-04-19T23:01:19.311+00:00,enterpriseContacts
brian.green@growth.com,Brian,Green,Attribution Analytics,635,2025-02-18T22:01:19.311+00:00,enterpriseContacts
janet.lewis@outlook.com,Janet,Lewis,SEO Intelligence,2005,2025-01-05T22:01:19.311+00:00,enterpriseContacts
michael.robinson@outlook.com,Michael,Robinson,Digital Strategy Group,664,2025-06-28T23:01:19.311+00:00,enterpriseContacts
anna.torres@conversionexperts.com,Anna,Torres,Conversion Experts,1672,2025-01-06T22:01:19.311+00:00,enterpriseContacts
nancy.harris@outlook.com,Nancy,Harris,Marketing Dynamics,723,2025-01-31T22:01:19.311+00:00,enterpriseContacts
laura.martin@gmail.com,Laura,Martin,Marketing Automation,81,2025-06-29T23:01:19.311+00:00,enterpriseContacts
george.lopez@hotmail.com,George,Lopez,Digital Growth Agency,553,2025-05-23T23:01:19.311+00:00,enterpriseContacts
chris.thompson@agency.com,Chris,Thompson,Digital Attribution,742,2025-05-15T23:01:19.311+00:00,enterpriseContacts
chris.baker@marketinganalytics.com,Chris,Baker,Marketing Analytics,631,2025-06-20T23:01:19.312+00:00,enterpriseContacts
nancy.garcia@yahoo.com,Nancy,Garcia,Attribution Experts,886,2025-06-01T23:01:19.311+00:00,enterpriseContacts
jessica.ramirez97@hotmail.com,Jessica,Ramirez,Digital Marketing Hub,317,2025-01-19T22:01:19.312+00:00,enterpriseContacts
jennifer.walker61@yahoo.com,Jennifer,Walker,Revenue Attribution,71,2025-01-14T22:01:19.311+00:00,enterpriseContacts
michael.robinson113@yahoo.com,Michael,Robinson,Brand Accelerator,438,2025-04-09T23:01:19.312+00:00,enterpriseContacts
