email,firstName,lastName,company,keywordCount,trialEndDate,segment
barbara.scott@growthenginemedia.com,Barbara,Scott,Growth Engine Media,48,2025-04-27T23:01:19.311+00:00,lowUsageUsers
matthew.gonzalez53@agency.com,Matthew,Gonzalez,SEO Boost Labs,27,2025-03-02T22:01:19.311+00:00,lowUsageUsers
mark.rodriguez110@gmail.com,Mark,Rodriguez,Revenue Growth Lab,47,2025-02-02T22:01:19.312+00:00,lowUsageUsers
anna.williams117@hotmail.com,Anna,Williams,Conversion Analytics,5,2025-05-13T23:01:19.312+00:00,lowUsageUsers
jessica.martinez131@agency.com,Jessica,Martinez,Marketing Insights,27,2025-03-20T22:01:19.312+00:00,lowUsageUsers
charles.thompson175@gmail.com,Charles,Thompson,SEO Boost Labs,45,2025-01-25T22:01:19.312+00:00,lowUsageUsers
ashley.johnson198@yahoo.com,Ashley,Johnson,Digital Marketing Hub,16,2025-02-12T22:01:19.312+00:00,lowUsageUsers
dorothy.martinez203@hotmail.com,Dorothy,Martinez,Marketing Insights,18,2025-06-13T23:01:19.312+00:00,lowUsageUsers
james.hill225@agency.com,James,Hill,Marketing Tech,1,2025-03-28T22:01:19.312+00:00,lowUsageUsers
richard.davis209@consulting.com,Richard,Davis,Performance Intelligence,42,2025-04-21T23:01:19.312+00:00,lowUsageUsers
