email,firstName,lastName,company,keywordCount,trialEndDate,segment
susan.scott@gmail.com,Susan,Scott,Keyword Research Pro,551,2025-02-25T22:01:19.297+00:00,powerUsers
nancy.garcia@yahoo.com,Nancy,Garcia,Attribution Experts,886,2025-06-01T23:01:19.311+00:00,powerUsers
john.nguyen@marketing.com,John,Nguyen,TechFlow Solutions,3073,2025-03-15T22:01:19.311+00:00,powerUsers
robert.young@marketing.com,Robert,Young,Traffic Labs,19397,2025-05-26T23:01:19.311+00:00,powerUsers
anthony.king@hotmail.com,Anthony,King,Marketing Tech,2443,2025-04-19T23:01:19.311+00:00,powerUsers
andrew.nguyen@yahoo.com,Andrew,Nguyen,Marketing Intelligence,565,2025-06-03T23:01:19.311+00:00,powerUsers
janet.lewis@outlook.com,Janet,Lewis,SEO Intelligence,2005,2025-01-05T22:01:19.311+00:00,powerUsers
susan.walker@business.com,Susan,Walker,Performance Analytics,633,2025-03-11T22:01:19.311+00:00,powerUsers
chris.thompson@agency.com,Chris,Thompson,Digital Attribution,742,2025-05-15T23:01:19.311+00:00,powerUsers
melissa.garcia@growth.com,Melissa,Garcia,Lead Generation Pro,2021,2025-06-19T23:01:19.311+00:00,powerUsers
kenneth.baker@growthenginemedia.com,Kenneth,Baker,Growth Engine Media,14460,2025-02-06T22:01:19.311+00:00,powerUsers
elizabeth.mitchell@trafficgenerationco.com,Elizabeth,Mitchell,Traffic Generation Co,1214,2025-03-03T22:01:19.311+00:00,powerUsers
brian.mitchell@business.com,Brian,Mitchell,Performance Intelligence,1379,2025-06-13T23:01:19.311+00:00,powerUsers
george.lopez@hotmail.com,George,Lopez,Digital Growth Agency,553,2025-05-23T23:01:19.311+00:00,powerUsers
anna.torres@conversionexperts.com,Anna,Torres,Conversion Experts,1672,2025-01-06T22:01:19.311+00:00,powerUsers
helen.thomas@marketing.com,Helen,Thomas,Keyword Research Pro,766,2025-05-03T23:01:19.311+00:00,powerUsers
deborah.baker@agency.com,Deborah,Baker,Digital Performance,648,2025-03-29T22:01:19.311+00:00,powerUsers
richard.perez@marketing.com,Richard,Perez,Digital Performance,2468,2025-04-25T23:01:19.311+00:00,powerUsers
andrew.robinson@growth.com,Andrew,Robinson,Conversion Optimization,789,2025-01-08T22:01:19.311+00:00,powerUsers
nancy.harris@outlook.com,Nancy,Harris,Marketing Dynamics,723,2025-01-31T22:01:19.311+00:00,powerUsers
helen.moore@performancemarketing.com,Helen,Moore,Performance Marketing,519,2025-05-06T23:01:19.311+00:00,powerUsers
emma.campbell@outlook.com,Emma,Campbell,MarketPro Analytics,573,2025-03-03T22:01:19.311+00:00,powerUsers
daniel.miller@seointelligence.com,Daniel,Miller,SEO Intelligence,513,2025-04-12T23:01:19.311+00:00,powerUsers
christopher.torres@marketing.com,Christopher,Torres,Traffic Optimization,855,2025-03-23T22:01:19.311+00:00,powerUsers
brian.green@growth.com,Brian,Green,Attribution Analytics,635,2025-02-18T22:01:19.311+00:00,powerUsers
jessica.scott@outlook.com,Jessica,Scott,Growth Intelligence,2354,2025-01-23T22:01:19.311+00:00,powerUsers
jennifer.campbell@business.com,Jennifer,Campbell,Revenue Growth Partners,773,2025-03-14T22:01:19.311+00:00,powerUsers
jennifer.mitchell@consulting.com,Jennifer,Mitchell,Keyword Research Pro,2803,2025-06-18T23:01:19.311+00:00,powerUsers
kenneth.thomas@marketingautomation.com,Kenneth,Thomas,Marketing Automation,2449,2025-03-28T22:01:19.311+00:00,powerUsers
