email,firstName,lastName,company,keywordCount,trialEndDate,segment
mark.wilson@yahoo.com,Mark,Wilson,Keyword Research Pro,358,2025-01-23T22:01:19.311+00:00,standardUsers
laura.lee@outlook.com,Laura,Lee,Conversion Analytics,457,2025-05-29T23:01:19.311+00:00,standardUsers
joseph.sanchez@consulting.com,Joseph,Sanchez,Marketing Tech,345,2025-05-06T23:01:19.311+00:00,standardUsers
joseph.taylor@yahoo.com,Joseph,Taylor,Keyword Research Pro,364,2025-06-09T23:01:19.311+00:00,standardUsers
melissa.martinez@agency.com,Melissa,Martinez,Marketing Intelligence,458,2025-03-03T22:01:19.311+00:00,standardUsers
mark.hernandez@gmail.com,Mark,Hernandez,Growth Catalyst,58,2025-03-14T22:01:19.311+00:00,standardUsers
charles.ramirez@outlook.com,Charles,Ramirez,TechFlow Solutions,269,2025-03-10T22:01:19.311+00:00,standardUsers
melissa.lewis@agency.com,Melissa,Lewis,Conversion Optimization,324,2025-01-21T22:01:19.311+00:00,standardUsers
jessica.scott@yahoo.com,Jessica,Scott,MarketPro Analytics,365,2025-04-19T23:01:19.311+00:00,standardUsers
kenneth.wilson@marketing.com,Kenneth,Wilson,Growth Engine Media,261,2025-04-04T22:01:19.311+00:00,standardUsers
andrew.taylor@business.com,Andrew,Taylor,Content Masters,184,2025-02-27T22:01:19.311+00:00,standardUsers
kevin.johnson@consulting.com,Kevin,Johnson,Conversion Analytics,403,2025-02-23T22:01:19.311+00:00,standardUsers
paul.wright52@gmail.com,Paul,Wright,Content Strategy Co,288,2025-01-20T22:01:19.311+00:00,standardUsers
lisa.baker54@growth.com,Lisa,Baker,SEO Intelligence,365,2025-02-11T22:01:19.311+00:00,standardUsers
david.nguyen55@agency.com,David,Nguyen,Digital Attribution,351,2025-02-07T22:01:19.311+00:00,standardUsers
jennifer.walker61@yahoo.com,Jennifer,Walker,Revenue Attribution,71,2025-01-14T22:01:19.311+00:00,standardUsers
maria.clark63@yahoo.com,Maria,Clark,Digital Growth Agency,423,2025-04-14T23:01:19.311+00:00,standardUsers
robert.lewis64@gmail.com,Robert,Lewis,Revenue Attribution,377,2025-04-04T22:01:19.311+00:00,standardUsers
james.young66@gmail.com,James,Young,Conversion Analytics,410,2025-03-13T22:01:19.311+00:00,standardUsers
chris.robinson68@growth.com,Chris,Robinson,Attribution Analytics,273,2025-06-09T23:01:19.311+00:00,standardUsers
steven.perez70@gmail.com,Steven,Perez,Attribution Analytics,241,2025-02-18T22:01:19.311+00:00,standardUsers
thomas.torres@performancemarketing.com,Thomas,Torres,Performance Marketing,158,2025-04-12T23:01:19.311+00:00,standardUsers
laura.hernandez77@growth.com,Laura,Hernandez,Marketing Tech,400,2025-02-10T22:01:19.311+00:00,standardUsers
donald.baker78@hotmail.com,Donald,Baker,Traffic Generation Co,389,2025-03-17T22:01:19.311+00:00,standardUsers
patricia.harris83@yahoo.com,Patricia,Harris,Digital Strategy Group,66,2025-06-11T23:01:19.311+00:00,standardUsers
donald.perez84@marketing.com,Donald,Perez,Traffic Optimization,226,2025-04-13T23:01:19.311+00:00,standardUsers
betty.lopez85@outlook.com,Betty,Lopez,Marketing Tech,170,2025-05-11T23:01:19.311+00:00,standardUsers
amanda.harris88@gmail.com,Amanda,Harris,Revenue Attribution,149,2025-05-14T23:01:19.312+00:00,standardUsers
tom.taylor89@outlook.com,Tom,Taylor,Traffic Generation Co,175,2025-04-29T23:01:19.312+00:00,standardUsers
brian.mitchell92@yahoo.com,Brian,Mitchell,Growth Hackers Inc,296,2025-02-03T22:01:19.312+00:00,standardUsers
jessica.ramirez97@hotmail.com,Jessica,Ramirez,Digital Marketing Hub,317,2025-01-19T22:01:19.312+00:00,standardUsers
brian.lee98@hotmail.com,Brian,Lee,Digital Growth Agency,68,2025-03-17T22:01:19.312+00:00,standardUsers
robert.anderson109@growth.com,Robert,Anderson,Revenue Growth Lab,236,2025-05-22T23:01:19.312+00:00,standardUsers
mark.lee112@business.com,Mark,Lee,Conversion Optimization,72,2025-04-10T23:01:19.312+00:00,standardUsers
michael.robinson113@yahoo.com,Michael,Robinson,Brand Accelerator,438,2025-04-09T23:01:19.312+00:00,standardUsers
chris.thomas119@hotmail.com,Chris,Thomas,Digital Strategy Group,125,2025-06-13T23:01:19.312+00:00,standardUsers
jessica.brown120@marketing.com,Jessica,Brown,Marketing Tech,181,2025-06-16T23:01:19.312+00:00,standardUsers
carolyn.rodriguez122@consulting.com,Carolyn,Rodriguez,Content Masters,199,2025-04-12T23:01:19.312+00:00,standardUsers
anna.ramirez123@agency.com,Anna,Ramirez,Attribution Analytics,278,2025-01-25T22:01:19.312+00:00,standardUsers
jennifer.clark125@marketing.com,Jennifer,Clark,Digital Marketing Hub,119,2025-05-10T23:01:19.312+00:00,standardUsers
helen.taylor95@agency.com,Helen,Taylor,Marketing Tech,139,2025-03-22T22:01:19.312+00:00,standardUsers
john.wright128@hotmail.com,John,Wright,SEO Intelligence,327,2025-03-29T22:01:19.312+00:00,standardUsers
thomas.thompson132@marketing.com,Thomas,Thompson,Performance Marketing,494,2025-02-03T22:01:19.312+00:00,standardUsers
daniel.baker133@hotmail.com,Daniel,Baker,Marketing Intelligence,228,2025-02-04T22:01:19.312+00:00,standardUsers
donald.hernandez135@outlook.com,Donald,Hernandez,Brand Accelerator,83,2025-01-14T22:01:19.312+00:00,standardUsers
rachel.lewis136@hotmail.com,Rachel,Lewis,SEO Boost Labs,326,2025-04-03T22:01:19.312+00:00,standardUsers
anna.rodriguez144@business.com,Anna,Rodriguez,Digital Attribution,116,2025-01-20T22:01:19.312+00:00,standardUsers
andrew.moore146@agency.com,Andrew,Moore,TechFlow Solutions,473,2025-03-19T22:01:19.312+00:00,standardUsers
nancy.rivera130@business.com,Nancy,Rivera,SEO Boost Labs,234,2025-03-06T22:01:19.312+00:00,standardUsers
melissa.lopez147@yahoo.com,Melissa,Lopez,Growth Engine Media,102,2025-06-09T23:01:19.312+00:00,standardUsers
sarah.brown@digitalattribution.com,Sarah,Brown,Digital Attribution,451,2025-03-10T22:01:19.312+00:00,standardUsers
thomas.wright152@consulting.com,Thomas,Wright,Lead Generation Pro,378,2025-05-08T23:01:19.312+00:00,standardUsers
amanda.sanchez156@yahoo.com,Amanda,Sanchez,Growth Hackers Inc,232,2025-05-21T23:01:19.312+00:00,standardUsers
laura.gonzalez160@growth.com,Laura,Gonzalez,Growth Engine Media,101,2025-03-10T22:01:19.312+00:00,standardUsers
elizabeth.lewis163@agency.com,Elizabeth,Lewis,Growth Intelligence,368,2025-01-27T22:01:19.312+00:00,standardUsers
jennifer.rodriguez@digitalmarketinghub.com,Jennifer,Rodriguez,Digital Marketing Hub,53,2025-06-17T23:01:19.312+00:00,standardUsers
nancy.jones172@hotmail.com,Nancy,Jones,Performance Marketing,355,2025-01-30T22:01:19.312+00:00,standardUsers
james.hernandez178@business.com,James,Hernandez,Marketing Dynamics,273,2025-05-26T23:01:19.312+00:00,standardUsers
robert.williams181@agency.com,Robert,Williams,Performance Analytics,246,2025-03-22T22:01:19.312+00:00,standardUsers
nancy.nelson184@marketing.com,Nancy,Nelson,Growth Hackers Inc,82,2025-06-12T23:01:19.312+00:00,standardUsers
matthew.moore186@marketing.com,Matthew,Moore,Conversion Optimization,217,2025-06-03T23:01:19.312+00:00,standardUsers
matthew.gonzalez187@outlook.com,Matthew,Gonzalez,Attribution Analytics,226,2025-02-23T22:01:19.312+00:00,standardUsers
kate.davis189@yahoo.com,Kate,Davis,SEO Boost Labs,273,2025-03-18T22:01:19.312+00:00,standardUsers
robert.wright192@consulting.com,Robert,Wright,Performance Intelligence,326,2025-06-17T23:01:19.312+00:00,standardUsers
janet.sanchez194@gmail.com,Janet,Sanchez,Digital Attribution,304,2025-06-07T23:01:19.312+00:00,standardUsers
laura.thomas197@consulting.com,Laura,Thomas,Digital Attribution,406,2025-04-03T22:01:19.312+00:00,standardUsers
janet.taylor202@hotmail.com,Janet,Taylor,Traffic Labs,97,2025-01-08T22:01:19.312+00:00,standardUsers
elizabeth.hill206@hotmail.com,Elizabeth,Hill,Digital Marketing Hub,107,2025-04-03T22:01:19.312+00:00,standardUsers
sarah.wilson210@yahoo.com,Sarah,Wilson,Digital Performance,58,2025-03-24T22:01:19.312+00:00,standardUsers
sarah.white212@yahoo.com,Sarah,White,Marketing Insights,180,2025-06-18T23:01:19.312+00:00,standardUsers
patricia.allen200@marketing.com,Patricia,Allen,Lead Generation Pro,397,2025-01-20T22:01:19.312+00:00,standardUsers
robert.miller217@consulting.com,Robert,Miller,Growth Hackers Inc,353,2025-04-13T23:01:19.312+00:00,standardUsers
chris.moore218@consulting.com,Chris,Moore,Performance Intelligence,277,2025-06-08T23:01:19.312+00:00,standardUsers
kate.sanchez222@outlook.com,Kate,Sanchez,Marketing Dynamics,102,2025-04-18T23:01:19.312+00:00,standardUsers
william.nelson226@consulting.com,William,Nelson,Digital Marketing Hub,364,2025-05-01T23:01:19.312+00:00,standardUsers
paul.green227@agency.com,Paul,Green,Traffic Optimization,215,2025-04-27T23:01:19.312+00:00,standardUsers
kate.anderson228@agency.com,Kate,Anderson,Marketing Science,425,2025-05-20T23:01:19.312+00:00,standardUsers
carolyn.white229@consulting.com,Carolyn,White,Traffic Optimization,204,2025-03-26T22:01:19.312+00:00,standardUsers
rachel.brown@performancemarketing.com,Rachel,Brown,Performance Marketing,473,2025-03-20T22:01:19.312+00:00,standardUsers
steven.harris@conversionoptimization.com,Steven,Harris,Conversion Optimization,259,2025-05-18T23:01:19.312+00:00,standardUsers
matthew.baker99@hotmail.com,Matthew,Baker,Attribution Analytics,235,2025-06-06T23:01:19.312+00:00,standardUsers
daniel.rivera234@outlook.com,Daniel,Rivera,Conversion Analytics,110,2025-04-16T23:01:19.312+00:00,standardUsers
mark.anderson235@gmail.com,Mark,Anderson,Revenue Growth Partners,172,2025-05-24T23:01:19.312+00:00,standardUsers
